nombre,precioUnitario,unidad,precioFinal,URL,ingredientes,descripcion,categoria,marca,supermercado
Crema de cacao y avellanas 2 sabores 500 g,"22,43",KILO,"1,85 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A05850_00.jpg?t=20241106030342,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,,BM
Queso de oveja curado 250 g,"18,35",KILO,"6,87 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A12609_00.jpg?t=20241106031054,"Aceite de oliva, ajo, perejil, sal marina",,Lacteos,,BM
Coletero tela Minnie 3 unidades azul,"1,33€",UNIDAD,"3,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw1693fec3/Assets/080880_C1C1/large/4/1/e/a/41ea04380d3d4398c41f5dfb4703c203d8eadbf2_080880_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Cuidado personal,,AHORRAMAS
Grasa de caballo Búfalo 75 ml Incoloro,"39,87€",LITRO,"2,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwfadeb40a/Assets/064843_C1C1/large/6/2/9/7/629787c39335b78fceeefb7922585a6c9d2e459e_064843_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Limpieza,,AHORRAMAS
Chocolate negro 125 g,"15,49",KILO,"4,49 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-localMarket.png,"Cacao, azúcar, manteca de cacao, vainilla",,Alimentacion,,BM
Zumo de naranja Simon Life botella 1.5 l,1.85,LITRO,1.23,,"Frutas deshidratadas, jarabe de agave, nueces",Bebida refrescante mixta de zumo de frutas. Con azúcar y edulcorante. Contenido en zumo 10%,Bebidas,DIA,Dia
Claras de huevo pasteurizadas Ovonatur botella 500 ml,1.95,LITRO,3.9,,"Harina de maíz, agua, sal, antioxidantes",,Lacteos,DIA,Dia
Harina de trigo para repostería Gallo paquete 1 Kg,1.69,KILO,1.69,,"Harina de espelta, agua, sal marina, levadura",Harina de trigo,Alimentacion,DIA,Dia
Vino tinto DO Valdepeñas Pata Negra reservado,"3,99€",LITRO,"2,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwdca434eb/Assets/053644_C1C1/large/9/e/c/d/9ecd21ad50fca3cbf25d94f9ec980b7c3d8ba6db_053644_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Bebidas,,AHORRAMAS
Requesón 0% 2x125 g,"23,25",KILO,"1,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A76200_00.jpg?t=20241109030143,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
